,clust,c_avg,c_std,c_max,d_avg,d_std
45891,37,6.2,0.4,7,14.1,0.830662386292
45892,31,1.0,0.0,1,5.0,0.0
45893,29,0.0,0.0,0,1.0,0.0
45894,35,2.9,0.3,3,5.6,0.916515138991
45895,28,2.0,0.0,2,5.0,0.0
45896,29,0.0,0.0,0,1.0,0.0
45897,30,3.0,1.0,4,7.5,0.5
45898,33,4.3,1.41774468788,8,8.9,2.91376045687
45899,33,4.6,1.2,7,21.4,0.8
45900,33,0.0,0.0,0,6.0,0.0
45901,31,2.3,0.458257569496,3,9.7,0.458257569496
45902,36,4.2,0.748331477355,5,14.4,1.95959179423
45903,28,0.0,0.0,0,1.0,0.0
45904,35,1.6,0.489897948557,2,5.0,0.0
45905,32,7.7,4.4283179651,15,30.6,11.1283421946
45906,31,3.5,0.5,4,10.0,0.0
45907,32,4.6,1.11355287257,6,14.6,3.41174442185
45908,33,0.0,0.0,0,1.0,0.0
45909,32,0.0,0.0,0,1.0,0.0
45910,31,8.8,3.99499687109,14,23.0,5.29150262213
45911,33,3.8,1.83303027798,8,13.7,2.86530975638
45912,33,0.0,0.0,0,1.0,0.0
45913,29,1.2,0.4,2,14.0,0.0
45914,31,4.8,1.88679622641,7,20.7,1.00498756211
45915,36,0.0,0.0,0,3.0,0.0
45916,32,2.3,0.458257569496,3,5.0,0.0
45917,29,5.6,2.41660919472,8,10.6,2.87054001888
45918,29,0.0,0.0,0,1.0,0.0
45919,28,7.4,1.56204993518,11,23.8,4.74973683482
45920,30,0.0,0.0,0,1.0,0.0
45921,32,0.0,0.0,0,1.0,0.0
45922,36,1.0,0.0,1,6.0,0.0
45923,29,1.0,0.0,1,2.7,0.458257569496
45924,34,2.0,0.0,2,5.2,1.46969384567
45925,31,0.0,0.0,0,1.0,0.0
45926,29,4.0,0.0,4,14.0,0.0
45927,31,6.6,1.2,7,14.7,1.95192212959
45928,32,8.2,0.871779788708,9,20.1,1.86815416923
45929,31,2.6,0.489897948557,3,4.4,0.489897948557
45930,33,0.0,0.0,0,1.0,0.0
45931,31,2.6,0.489897948557,3,9.2,0.979795897113
45932,30,3.6,1.11355287257,6,11.9,2.25610283454
45933,33,19.1,6.28410693735,30,48.1,14.9228013456
45934,33,1.0,0.0,1,10.0,0.0
45935,28,0.0,0.0,0,1.0,0.0
45936,30,5.6,1.11355287257,7,28.1,1.97230829233
45937,29,1.9,0.3,2,8.0,0.0
45938,33,2.9,0.3,3,5.0,0.0
45939,30,1.0,0.0,1,4.0,0.0
45940,32,4.9,0.3,5,11.0,0.0
45941,32,3.4,3.85227205685,11,10.5,5.3712196008
45942,32,3.0,0.0,3,18.5,0.5
45943,31,2.5,0.5,3,6.0,0.0
45944,34,4.5,1.43178210633,6,14.1,3.38969025134
45945,27,9.9,4.4598206242,17,22.0,6.0166435826
45946,27,0.0,0.0,0,1.0,0.0
45947,36,0.0,0.0,0,1.0,0.0
45948,31,0.0,0.0,0,3.0,0.0
45949,29,7.1,2.11896201004,9,20.2,2.85657137142
45950,29,2.0,0.0,2,5.0,0.0
45951,30,8.1,0.943398113206,10,34.1,1.92093727123
45952,31,3.6,0.489897948557,4,13.7,0.781024967591
45953,33,2.0,0.0,2,5.5,0.5
45954,30,0.0,0.0,0,2.0,0.0
45955,31,0.0,0.0,0,1.0,0.0
45956,30,2.8,0.979795897113,4,8.5,2.80178514522
45957,33,0.0,0.0,0,1.0,0.0
45958,35,1.5,0.5,2,5.0,0.0
45959,31,4.0,2.4899799196,8,11.3,3.31813200461
45960,32,4.3,0.640312423743,6,8.5,1.0246950766
45961,30,2.4,0.663324958071,4,6.3,0.458257569496
45962,31,0.0,0.0,0,1.0,0.0
45963,34,4.5,3.0083217913,13,9.0,4.44971909226
45964,31,0.0,0.0,0,1.0,0.0
45965,30,7.7,3.60693775937,14,21.8,3.84187454246
45966,35,2.7,1.48660687473,7,10.1,2.80891438104
45967,32,6.6,0.489897948557,7,17.1,0.3
45968,33,2.1,1.44568322948,5,5.9,1.13578166916
45969,29,0.0,0.0,0,1.0,0.0
45970,30,8.5,2.01246117975,13,21.0,1.94935886896
45971,30,1.0,0.0,1,5.0,0.0
45972,31,0.0,0.0,0,1.0,0.0
45973,31,8.2,0.4,9,12.9,0.830662386292
45974,32,0.0,0.0,0,2.0,0.0
45975,31,2.0,0.0,2,7.0,0.0
45976,31,2.0,0.0,2,7.0,0.0
45977,34,1.3,0.458257569496,2,5.6,0.916515138991
45978,32,0.0,0.0,0,1.0,0.0
45979,29,6.0,2.64575131106,11,26.7,2.72213151776
45980,32,1.9,0.3,2,7.1,0.3
45981,27,5.4,1.62480768093,8,12.3,1.95192212959
45982,32,2.0,0.0,2,9.0,0.0
45983,30,0.0,0.0,0,1.0,0.0
45984,38,2.2,0.4,3,9.0,0.0
45985,34,7.0,0.774596669241,8,17.8,1.83303027798
45986,32,2.0,0.0,2,5.0,0.0
45987,30,0.0,0.0,0,1.0,0.0
45988,31,5.0,0.0,5,13.7,0.458257569496
45989,30,5.4,1.8,8,12.9,1.92093727123
45990,30,2.8,0.4,3,6.0,0.0
45991,30,0.0,0.0,0,1.0,0.0
45992,33,0.0,0.0,0,1.0,0.0
45993,31,1.0,0.0,1,2.0,0.0
45994,30,9.0,1.84390889146,11,30.6,2.33238075794
45995,30,2.0,0.0,2,10.0,0.0
45996,32,2.0,0.0,2,10.0,0.0
45997,29,6.0,1.41421356237,8,8.2,0.6
45998,27,1.0,0.0,1,2.0,0.0
45999,28,0.0,0.0,0,2.0,0.0
46000,31,1.6,0.916515138991,3,5.7,0.781024967591
46001,32,0.0,0.0,0,6.0,0.0
46002,29,4.0,0.0,4,12.0,0.0
46003,27,2.0,1.0,3,4.5,0.5
46004,34,0.0,0.0,0,1.0,0.0
46005,31,0.0,0.0,0,3.0,0.0
46006,30,2.4,0.916515138991,3,7.3,0.9
46007,29,1.0,0.0,1,3.0,0.0
46008,34,4.7,2.1,11,11.4,4.63033476112
46009,33,1.0,0.0,1,7.0,0.0
46010,34,0.0,0.0,0,1.0,0.0
46011,33,0.0,0.0,0,1.0,0.0
46012,34,1.7,0.458257569496,2,7.0,0.0
46013,30,0.0,0.0,0,3.0,0.0
46014,34,2.0,1.0,3,7.6,0.8
46015,32,2.0,0.0,2,7.0,0.0
